data_date,org_code,elec_type,data_value,trade_code
2020-05-01,32408,1,235479953,U
2020-05-01,32409,1,365626783,U
2020-05-01,32410,1,274693876,U
2020-05-01,32411,1,210806369,U
2020-05-01,32412,1,270115103,U
2020-05-01,32413,1,233651694,U
2020-06-01,32401,1,964888085,U
2020-06-01,32402,1,645341635,U
2020-06-01,32403,1,594952997,U
2020-06-01,32404,1,442946237,U
2020-06-01,32405,1,1212936510,U
2020-06-01,32406,1,592242418,U
2020-06-01,32407,1,264019934,U
2020-06-01,32408,1,301544002,U
2020-06-01,32409,1,430344401,U
2020-06-01,32410,1,333947613,U
2020-06-01,32411,1,264261717,U
2020-06-01,32412,1,321183774,U
2020-06-01,32413,1,300326970,U
2020-07-01,32401,1,977069799,U
2020-07-01,32402,1,739090168,U
2020-07-01,32403,1,606009822,U
2020-07-01,32404,1,485839665,U
2020-07-01,32405,1,1474185336,U
2020-07-01,32406,1,667091784,U
2020-07-01,32407,1,274647597,U
2020-07-01,32408,1,302600898,U
2020-07-01,32409,1,450728956,U
2020-07-01,32410,1,349256310,U
2020-07-01,32411,1,277148697,U
2020-07-01,32412,1,341519111,U
2020-07-01,32413,1,305515240,U
2020-08-01,32401,1,1858565908,U
2020-08-01,32402,1,1514294776,U
2020-08-01,32403,1,1038875932,U
2020-08-01,32404,1,1033035246,U
2020-08-01,32405,1,2705311479,U
2020-08-01,32406,1,1244291764,U
2020-08-01,32407,1,509592155,U
2020-08-01,32408,1,622829297,U
2020-08-01,32409,1,885241537,U
2020-08-01,32410,1,732431973,U
2020-08-01,32411,1,587870756,U
2020-08-01,32412,1,709157633,U
2020-08-01,32413,1,611166840,U
2020-09-01,32401,1,945995768,U
2020-09-01,32402,1,656450807,U
2020-09-01,32403,1,550876815,U
2020-09-01,32404,1,447944552,U
2020-09-01,32405,1,1234159763,U
2020-09-01,32406,1,614604509,U
2020-09-01,32407,1,266863913,U
2020-09-01,32408,1,292625923,U
2020-09-01,32409,1,440722471,U
2020-09-01,32410,1,336102684,U
2020-09-01,32411,1,266224094,U
2020-09-01,32412,1,327367367,U
2020-09-01,32413,1,288620445,U
2020-10-01,32401,1,727274896,U
2020-10-01,32402,1,496342449,U
2020-10-01,32403,1,463994707,U
2020-10-01,32404,1,340814887,U
2020-10-01,32405,1,949233359,U
2020-10-01,32406,1,528794277,U
2020-10-01,32407,1,226480130,U
2020-10-01,32408,1,237892615,U
2020-10-01,32409,1,377669075,U
2020-10-01,32410,1,276300445,U
2020-10-01,32411,1,209644206,U
2020-10-01,32412,1,269495123,U
2020-10-01,32413,1,235253839,U
2020-11-01,32401,1,897586361,U
2020-11-01,32402,1,559316029,U
2020-11-01,32403,1,548656011,U
2020-11-01,32404,1,387633539,U
2020-11-01,32405,1,1071418660,U
2020-11-01,32406,1,568126175,U
2020-11-01,32407,1,264651732,U
2020-11-01,32408,1,275449095,U
2020-11-01,32409,1,406676374,U
2020-11-01,32410,1,317710502,U
2020-11-01,32411,1,241011515,U
2020-11-01,32412,1,296636535,U
2020-11-01,32413,1,266750696,U
2020-12-01,32401,1,1649906181,U
2020-12-01,32402,1,981653333,U
2020-12-01,32403,1,933161418,U
2020-12-01,32404,1,690640265,U
2020-12-01,32405,1,1850018733,U
2020-12-01,32406,1,887462698,U
2020-12-01,32407,1,493165095,U
2020-12-01,32408,1,492848748,U
2020-12-01,32409,1,665746441,U
2020-12-01,32410,1,564988580,U
2020-12-01,32411,1,434312339,U
2020-12-01,32412,1,501123587,U
2020-12-01,32413,1,467748376,U
2021-01-01,32401,1,1685914118,U
2021-01-01,32402,1,1121798502,U
2021-01-01,32403,1,1065024938,U
2021-01-01,32404,1,780509574,U
